"","ID","Rep","FocalNew","NeighborNew","F.H","N.live","N.dead","F.mass","N.all.mass","N.max","Type","N.all.percap","N.live.percap"
"1",1,1,"ARTR","ARTR",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"2",2,1,"ARTR","ARTR",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"3",3,1,"ARTR","ARTR",1,0,0,0.4,NA,0,"Solo",NA,NA
"4",4,1,"ARTR","ARTR",1,1,0,34.9,13.3,0,"Intra",13.3,13.3
"5",5,1,"POSE","POSE",1,0,0,23.4,NA,1,"Solo",NA,NA
"6",6,1,"ARTR","POSE",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"7",7,1,"ARTR","POSE",1,1,0,11.2,30.5,1,"Inter",30.5,30.5
"8",8,1,"POSE","POSE",1,8,3,1.2,43.7,12,"Intra",3.97272727272727,31.7818181818182
"9",9,1,"ARTR","PSSP",1,2,0,22.4,75.8,2,"Inter",37.9,75.8
"10",10,1,"ARTR","PSSP",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"11",11,1,"PSSP","PSSP",1,0,0,31.8,NA,1,"Solo",NA,NA
"12",12,1,"ARTR","PSSP",1,8,0,2.7,103.2,13,"Inter",12.9,103.2
"13",13,1,"POSE","POSE",1,0,0,37.3,NA,0,"Solo",NA,NA
"14",14,1,"POSE","POSE",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"15",15,1,"POSE","POSE",1,3,0,11,14.1,0,"Intra",4.7,14.1
"16",16,1,"POSE","POSE",1,2,1,0.2,37.1,0,"Intra",12.3666666666667,24.7333333333333
"17",17,1,"POSE","ARTR",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"18",18,1,"POSE","ARTR",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"19",19,1,"POSE","ARTR",1,0,0,10.3,NA,0,"Inter",NA,NA
"20",20,1,"POSE","ARTR",1,2,0,37,37.7,2,"Inter",18.85,37.7
"21",21,1,"POSE","PSSP",1,0,0,27,NA,4,"Inter",NA,NA
"22",22,1,"POSE","PSSP",1,2,0,7.3,40.3,4,"Inter",20.15,40.3
"23",23,1,"PSSP","PSSP",1,3,0,4.1,52.5,4,"Intra",17.5,52.5
"24",24,1,"POSE","PSSP",1,2,0,9.9,61.7,2,"Inter",30.85,61.7
"25",25,1,"PSSP","PSSP",NA,NA,NA,NA,NA,1,"Solo",NA,NA
"26",26,1,"PSSP","PSSP",1,0,0,31.8,NA,0,"Solo",NA,NA
"27",27,1,"PSSP","PSSP",1,0,0,26.8,NA,0,"Solo",NA,NA
"28",28,1,"PSSP","PSSP",1,2,0,10.4,58.9,3,"Intra",29.45,58.9
"29",29,1,"PSSP","ARTR",1,0,0,34.5,NA,1,"Inter",NA,NA
"30",30,1,"PSSP","PSSP",1,1,0,36.1,49.5,0,"Intra",49.5,49.5
"31",31,1,"PSSP","ARTR",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"32",32,1,"PSSP","ARTR",1,4,0,12.3,43,4,"Inter",10.75,43
"33",33,1,"PSSP","POSE",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"34",34,1,"PSSP","POSE",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"35",35,1,"PSSP","POSE",1,5,0,21,14.3,5,"Inter",2.86,14.3
"36",36,1,"PSSP","POSE",1,4,0,12.3,22.7,4,"Inter",5.675,22.7
"37",37,2,"ARTR","ARTR",NA,NA,NA,NA,NA,1,"Solo",NA,NA
"38",38,2,"ARTR","ARTR",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"39",39,2,"ARTR","ARTR",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"40",40,2,"ARTR","ARTR",1,7,0,6.8,17.8,1,"Intra",2.54285714285714,17.8
"41",41,2,"ARTR","POSE",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"42",42,2,"POSE","POSE",1,2,0,6.6,21,3,"Intra",10.5,21
"43",43,2,"POSE","POSE",1,2,0,15.7,16.9,2,"Intra",8.45,16.9
"44",44,2,"POSE","POSE",1,3,4,2.8,22.8,8,"Intra",3.25714285714286,9.77142857142857
"45",45,2,"PSSP","PSSP",1,2,0,39.1,38.4,3,"Intra",19.2,38.4
"46",46,2,"PSSP","PSSP",1,1,0,37,12.2,2,"Intra",12.2,12.2
"47",47,2,"PSSP","PSSP",1,4,0,18.1,73,5,"Intra",18.25,73
"48",48,2,"PSSP","PSSP",1,9,1,5,92,11,"Intra",9.2,82.8
"49",49,2,"POSE","POSE",1,0,0,45.2,NA,0,"Solo",NA,NA
"50",50,2,"POSE","POSE",1,1,0,49.4,3.7,0,"Intra",3.7,3.7
"51",51,2,"POSE","POSE",1,4,0,1.4,10.8,0,"Intra",2.7,10.8
"52",52,2,"POSE","POSE",1,16,0,7.1,49.7,0,"Intra",3.10625,49.7
"53",53,2,"POSE","ARTR",1,2,0,7.5,1.8,2,"Inter",0.9,1.8
"54",54,2,"POSE","ARTR",1,1,0,1.7,0.1,1,"Inter",0.1,0.1
"55",55,2,"POSE","ARTR",1,0,0,35.3,NA,1,"Inter",NA,NA
"56",56,2,"POSE","ARTR",2,4,0,28.5,36.3,5,"Inter",9.075,36.3
"57",57,2,"POSE","PSSP",1,0,0,25.1,NA,0,"Inter",NA,NA
"58",58,2,"POSE","PSSP",1,2,0,8.9,47.5,2,"Inter",23.75,47.5
"59",59,2,"PSSP","PSSP",1,2,0,38,22.7,3,"Intra",11.35,22.7
"60",60,2,"POSE","PSSP",1,6,0,7,75,8,"Inter",12.5,75
"61",61,2,"PSSP","PSSP",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"62",62,2,"PSSP","PSSP",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"63",63,2,"PSSP","PSSP",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"64",64,2,"PSSP","PSSP",1,3,1,2.3,21.8,0,"Intra",5.45,16.35
"65",65,2,"PSSP","ARTR",1,0,0,3.5,NA,0,"Inter",NA,NA
"66",66,2,"PSSP","ARTR",1,1,0,20.9,15.6,1,"Inter",15.6,15.6
"67",67,2,"PSSP","ARTR",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"68",68,2,"PSSP","ARTR",1,2,0,5.1,4.1,2,"Inter",2.05,4.1
"69",69,2,"PSSP","POSE",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"70",70,2,"POSE","POSE",1,0,0,19.9,NA,1,"Solo",NA,NA
"71",71,2,"PSSP","POSE",1,0,4,22.8,14.8,4,"Inter",3.7,0
"72",72,2,"PSSP","POSE",1,3,5,19.7,18.5,8,"Inter",2.3125,6.9375
"73",73,3,"ARTR","ARTR",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"74",74,3,"ARTR","ARTR",1,0,0,23.3,NA,0,"Solo",NA,NA
"75",75,3,"ARTR","ARTR",1,2,0,14.6,26.5,0,"Intra",13.25,26.5
"76",76,3,"ARTR","ARTR",1,7,0,6.4,66.8,0,"Intra",9.54285714285714,66.8
"77",77,3,"ARTR","POSE",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"78",78,3,"POSE","POSE",1,1,0,8.7,16.2,2,"Intra",16.2,16.2
"79",79,3,"POSE","POSE",1,2,0,29.5,16.6,3,"Intra",8.3,16.6
"80",80,3,"POSE","POSE",1,2,0,14.8,4.5,3,"Intra",2.25,4.5
"81",81,3,"POSE","PSSP",1,0,0,34.7,NA,1,"Inter",NA,NA
"82",82,3,"PSSP","PSSP",1,0,0,0.2,NA,1,"Solo",NA,NA
"83",83,3,"PSSP","PSSP",1,4,0,13.2,27.4,7,"Intra",6.85,27.4
"84",84,3,"PSSP","PSSP",1,1,0,37.4,25.9,2,"Intra",25.9,25.9
"85",85,3,"POSE","POSE",1,1,0,34.2,0.1,0,"Intra",0.1,0.1
"86",86,3,"POSE","POSE",1,2,0,4.1,40.9,0,"Intra",20.45,40.9
"87",87,3,"POSE","POSE",1,2,0,1.8,26.3,0,"Intra",13.15,26.3
"88",88,3,"POSE","POSE",1,6,0,10.7,29.3,0,"Intra",4.88333333333333,29.3
"89",89,3,"POSE","ARTR",1,0,0,29.5,NA,1,"Inter",NA,NA
"90",90,3,"POSE","ARTR",NA,NA,NA,NA,NA,1,"Inter",NA,NA
"91",91,3,"ARTR","ARTR",1,2,0,15,30.1,5,"Intra",15.05,30.1
"92",92,3,"POSE","ARTR",1,4,0,4.5,9.2,4,"Inter",2.3,9.2
"93",93,3,"POSE","PSSP",1,0,0,36.8,62.5,0,"Inter",Inf,NA
"94",94,3,"POSE","PSSP",1,0,0,0.1,NA,0,"Inter",NA,NA
"95",95,3,"POSE","PSSP",1,4,0,10.5,62.5,5,"Inter",15.625,62.5
"96",96,3,"POSE","PSSP",1,3,0,16.4,32,3,"Inter",10.6666666666667,32
"97",97,3,"PSSP","PSSP",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"98",98,3,"PSSP","PSSP",1,4,0,31.9,57.7,0,"Intra",14.425,57.7
"99",99,3,"PSSP","PSSP",1,9,0,8.6,82.2,0,"Intra",9.13333333333333,82.2
"100",100,3,"PSSP","PSSP",1,7,0,8.5,51,0,"Intra",7.28571428571429,51
"101",101,3,"PSSP","PSSP",1,1,0,19.8,26.3,0,"Intra",26.3,26.3
"102",102,3,"ARTR","ARTR",1,0,0,31.6,NA,1,"Solo",NA,NA
"103",103,3,"PSSP","ARTR",1,1,0,25,1.2,2,"Inter",1.2,1.2
"104",104,3,"PSSP","ARTR",1,1,0,16.9,16.9,1,"Inter",16.9,16.9
"105",105,3,"PSSP","POSE",1,1,0,24.1,38.1,1,"Inter",38.1,38.1
"106",106,3,"PSSP","POSE",1,5,0,5.3,54.4,5,"Inter",10.88,54.4
"107",107,3,"PSSP","POSE",1,7,0,19.6,28.4,7,"Inter",4.05714285714286,28.4
"108",108,3,"PSSP","POSE",1,11,0,20.2,32.8,11,"Inter",2.98181818181818,32.8
"109",109,4,"ARTR","ARTR",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"110",110,4,"ARTR","ARTR",1,0,0,2.1,NA,0,"Solo",NA,NA
"111",111,4,"ARTR","ARTR",1,0,0,39.8,NA,0,"Solo",NA,NA
"112",112,4,"ARTR","ARTR",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"113",113,4,"ARTR","POSE",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"114",114,4,"ARTR","POSE",1,4,0,6.8,19.7,4,"Inter",4.925,19.7
"115",115,4,"POSE","POSE",1,2,0,17.6,24.4,3,"Intra",12.2,24.4
"116",116,4,"ARTR","POSE",1,4,3,4.6,26.7,7,"Inter",3.81428571428571,15.2571428571429
"117",117,4,"ARTR","PSSP",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"118",118,4,"PSSP","PSSP",1,1,0,1.7,7.5,2,"Intra",7.5,7.5
"119",119,4,"ARTR","PSSP",1,1,0,4.6,66.7,1,"Inter",66.7,66.7
"120",120,4,"ARTR","PSSP",1,7,0,0.1,53.2,7,"Inter",7.6,53.2
"121",121,4,"POSE","POSE",1,0,0,35.7,NA,0,"Solo",NA,NA
"122",122,4,"POSE","POSE",1,2,0,15.1,15,0,"Intra",7.5,15
"123",123,4,"POSE","POSE",1,5,0,3.1,21.7,0,"Intra",4.34,21.7
"124",124,4,"POSE","POSE",1,6,0,5.3,22.8,0,"Intra",3.8,22.8
"125",125,4,"POSE","POSE",1,1,0,4.9,0.6,0,"Intra",0.6,0.6
"126",126,4,"POSE","ARTR",1,1,0,10.7,26.3,3,"Inter",26.3,26.3
"127",127,4,"POSE","ARTR",1,3,0,3.1,30.6,4,"Inter",10.2,30.6
"128",128,4,"ARTR","POSE",1,1,1,43.7,2.4,2,"Inter",1.2,1.2
"129",129,4,"POSE","POSE",1,1,0,9.1,12.2,0,"Intra",12.2,12.2
"130",130,4,"PSSP","POSE",1,2,0,28.7,1.7,2,"Inter",0.85,1.7
"131",131,4,"POSE","PSSP",1,3,2,9.9,8.2,4,"Inter",1.64,4.92
"132",132,4,"POSE","PSSP",1,5,0,1.5,58.5,7,"Inter",11.7,58.5
"133",133,4,"PSSP","PSSP",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"134",134,4,"PSSP","PSSP",1,3,0,11.9,41.2,0,"Intra",13.7333333333333,41.2
"135",135,4,"PSSP","PSSP",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"136",136,4,"PSSP","PSSP",1,2,0,52.3,10.6,0,"Intra",5.3,10.6
"137",137,4,"PSSP","ARTR",1,0,0,43.7,NA,1,"Inter",NA,NA
"138",138,4,"PSSP","ARTR",NA,NA,NA,NA,NA,0,"Inter",NA,NA
"139",139,4,"PSSP","ARTR",NA,NA,NA,NA,NA,1,"Inter",NA,NA
"140",140,4,"PSSP","ARTR",NA,NA,NA,NA,NA,1,"Inter",NA,NA
"141",141,4,"POSE","POSE",1,1,0,14.9,16.6,2,"Intra",16.6,16.6
"142",142,4,"POSE","POSE",1,1,0,6.8,8.8,2,"Intra",8.8,8.8
"143",143,4,"POSE","POSE",1,3,0,16.9,25.3,4,"Intra",8.43333333333333,25.3
"144",144,4,"PSSP","POSE",1,5,0,25.3,8.8,5,"Inter",1.76,8.8
"145",145,5,"ARTR","ARTR",NA,NA,NA,NA,NA,0,"Solo",NA,NA
"146",146,5,"ARTR","ARTR",1,0,0,34.1,NA,0,"Solo",NA,NA
"147",147,5,"ARTR","ARTR",1,0,0,33.5,NA,0,"Solo",NA,NA
"148",148,5,"ARTR","ARTR",1,4,0,8,44.4,0,"Intra",11.1,44.4
"149",149,5,"POSE","POSE",1,0,0,37.2,NA,1,"Solo",NA,NA
"150",150,5,"POSE","POSE",1,2,0,22.1,33,3,"Intra",16.5,33
"151",151,5,"ARTR","POSE",1,5,0,4.1,40.6,6,"Inter",8.12,40.6
"152",152,5,"ARTR","POSE",1,9,0,10.6,26.2,10,"Inter",2.91111111111111,26.2
"153",153,5,"ARTR","PSSP",1,2,0,9.6,56.5,2,"Inter",28.25,56.5
"154",154,5,"ARTR","PSSP",1,3,0,11.7,75.2,3,"Inter",25.0666666666667,75.2
"155",155,5,"PSSP","PSSP",1,2,0,12,34.5,3,"Intra",17.25,34.5
"156",156,5,"PSSP","PSSP",1,4,0,16.1,64,6,"Intra",16,64
"157",157,5,"POSE","POSE",1,0,0,35.1,NA,0,"Solo",NA,NA
"158",158,5,"POSE","POSE",1,3,0,30.9,25.8,0,"Intra",8.6,25.8
"159",159,5,"POSE","POSE",1,4,0,1,24,0,"Intra",6,24
"160",160,5,"POSE","POSE",1,11,5,2.1,39,0,"Intra",2.4375,26.8125
"161",161,5,"POSE","ARTR",NA,NA,NA,NA,NA,1,"Inter",NA,NA
"162",162,5,"POSE","ARTR",1,2,0,19.9,6.4,2,"Inter",3.2,6.4
"163",163,5,"POSE","ARTR",1,1,0,1.7,4.8,2,"Inter",4.8,4.8
"164",164,5,"POSE","ARTR",1,4,0,1.1,41.7,5,"Inter",10.425,41.7
"165",165,5,"POSE","PSSP",1,1,0,23.3,24.7,2,"Inter",24.7,24.7
"166",166,5,"POSE","PSSP",1,0,1,3.3,1.9,1,"Inter",1.9,0
"167",167,5,"POSE","PSSP",2,3,0,14.6,28.8,7,"Inter",9.6,28.8
"168",168,5,"POSE","PSSP",1,1,9,6,54.5,12,"Inter",5.45,5.45
"169",169,5,"PSSP","PSSP",1,0,0,32.2,NA,0,"Solo",NA,NA
"170",170,5,"PSSP","PSSP",1,0,0,35.9,NA,0,"Solo",NA,NA
"171",171,5,"PSSP","PSSP",1,4,0,11.7,42.2,0,"Intra",10.55,42.2
"172",172,5,"PSSP","PSSP",1,9,0,6.5,102.2,0,"Intra",11.3555555555556,102.2
"173",173,5,"PSSP","ARTR",1,0,0,21,NA,1,"Inter",NA,NA
"174",174,5,"PSSP","ARTR",1,0,0,20.7,NA,0,"Inter",NA,NA
"175",175,5,"PSSP","ARTR",1,1,0,40.7,13.8,1,"Inter",13.8,13.8
"176",176,5,"PSSP","ARTR",1,9,0,18,33.4,10,"Inter",3.71111111111111,33.4
"177",177,5,"POSE","PSSP",1,3,0,0.1,55.3,1,"Inter",18.4333333333333,55.3
"178",178,5,"PSSP","POSE",1,3,0,22.5,16.4,3,"Inter",5.46666666666667,16.4
"179",179,5,"PSSP","POSE",1,3,0,18.3,31.9,3,"Inter",10.6333333333333,31.9
"180",180,5,"PSSP","POSE",1,4,0,10.6,33.1,4,"Inter",8.275,33.1
