Lab Number,Account,Report Number,Info1,Report Date,Sample ID,Date Received,Sample Position,OM,P1,P2,BICARB,K,Mg,Ca,pH,Nitrate,CEC
34770905,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR1-LV,7/22/2019,1,2.3,20,92,14,389,114,3683,8.2,4,20.4
34770906,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR2-LV,7/22/2019,2,2.7,17,86,9,475,100,3634,8.1,9,20.2
34770907,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR3-LV,7/22/2019,3,3.6,15,84,9,559,133,3718,8.1,6,21.1
34770908,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR4-LV,7/22/2019,4,3,14,129,9,313,136,3861,8,4,21.2
34770909,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR5-LV,7/22/2019,5,2.9,18,120,9,333,175,3478,7.9,4,19.7
34770910,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR6-LV,7/22/2019,6,2.8,19,138,10,341,257,2745,7.5,4,16.7
34770911,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR7-LV,7/22/2019,7,2.3,12,117,9,538,175,3383,8,3,19.8
34770912,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR8-LV,7/22/2019,8,2.8,17,93,13,326,155,3883,8,4,21.5
34770913,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR9-LV,7/22/2019,9,2.5,13,110,12,290,130,3729,8,4,20.5
34770914,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR10-LV,7/22/2019,10,2.7,19,119,14,410,204,2766,7.5,3,16.6
34770915,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO1-LV,7/22/2019,11,2.1,11,95,5,357,102,3340,8.1,5,18.5
34770916,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE1-LV,7/22/2019,12,2.3,18,130,14,331,289,2645,7.3,2,16.5
34770917,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP1-LV,7/22/2019,13,2.5,13,112,8,287,163,3169,7.8,4,17.9
34770918,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO2-LV,7/22/2019,14,2.1,11,72,6,392,94,3436,8.1,5,19
34770919,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO3-LV,7/22/2019,15,2.5,22,130,12,619,112,3145,8.1,7,18.2
34770920,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO4-LV,7/22/2019,16,1.8,16,104,7,310,77,2912,8.1,6,16
34770921,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO5-LV,7/22/2019,17,1.8,21,115,10,262,158,2879,7.8,2,16.4
34770922,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO6-LV,7/22/2019,18,2.2,11,117,6,306,149,2704,7.8,4,15.5
34770923,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO7-LV,7/22/2019,19,2.2,10,121,5,326,169,2612,7.9,2,15.3
34770924,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO8-LV,7/22/2019,20,2.6,10,117,5,421,144,3031,7.9,4,17.4
34770925,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO9-LV,7/22/2019,21,2.6,11,79,12,455,129,3724,8.1,7,20.9
34770926,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO10-LV,7/22/2019,22,2,16,107,9,345,251,2412,7.5,2,15
34770927,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE2-LV,7/22/2019,23,2.8,33,109,19,450,282,2165,7,2,14.3
34770928,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE3-LV,7/22/2019,24,2.5,12,128,6,297,155,3280,7.9,5,18.5
34770929,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE4-LV,7/22/2019,25,4,15,113,6,465,163,3128,7.6,8,18.2
34770930,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE5-LV,7/22/2019,26,2.6,14,117,8,472,127,3366,7.9,8,19.1
34770931,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE6-LV,7/22/2019,27,2.7,12,102,8,517,161,3616,7.8,9,20.7
34770932,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE7-LV,7/22/2019,28,2.4,21,100,14,452,101,3873,8.1,3,21.4
34770933,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE8-LV,7/22/2019,29,3,19,123,11,543,127,3807,8,8,21.5
34770934,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE9-LV,7/22/2019,30,2.8,9,65,17,443,117,3679,8.1,6,20.5
34770935,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE10-LV,7/22/2019,31,2.9,18,114,10,471,159,3521,7.8,6,20.1
34770936,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP2-LV,7/22/2019,32,2.2,12,139,9,385,155,3176,8,3,18.2
34770937,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP3-LV,7/22/2019,33,2.1,26,98,23,567,153,3511,8.1,5,20.3
34770938,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP4-LV,7/22/2019,34,3,7,72,16,486,115,3532,8.1,8,19.9
34770939,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP5-LV,7/22/2019,35,2.4,6,64,14,462,119,3753,8.1,5,20.9
34770940,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP6-LV,7/22/2019,36,2.5,18,85,18,403,100,3583,8.1,6,19.8
34770942,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP7-LV,7/22/2019,37,2.9,17,129,13,347,158,3100,7.7,4,17.7
34770943,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP8-LV,7/22/2019,38,3.3,42,118,35,687,292,2877,7.6,5,18.6
34770944,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP9-LV,7/22/2019,39,2.6,30,124,31,505,229,2621,7.3,4,16.3
34770945,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP10-LV,7/22/2019,40,3.3,43,116,36,660,270,2619,7.2,4,17
34770946,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR1-ST,7/22/2019,41,2.6,25,112,20,426,95,3575,8.2,4,19.8
34770947,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR2-ST,7/22/2019,42,2.9,18,104,10,483,94,3564,8.1,5,19.8
34770948,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR3-ST,7/22/2019,43,3.3,10,83,10,562,122,3731,8.1,5,21.1
34770949,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR4-ST,7/22/2019,44,3.1,17,110,15,322,124,3540,8.1,3,19.6
34770950,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR5-ST,7/22/2019,45,2.1,18,134,15,339,172,3701,8,2,20.8
34770951,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR6-ST,7/22/2019,46,2.9,26,111,13,334,254,2647,7.4,3,16.2
34770952,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR7-ST,7/22/2019,47,2.1,14,92,11,598,161,3453,8.1,3,20.1
34770953,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR8-ST,7/22/2019,48,2.5,16,105,15,303,150,3757,8.1,3,20.8
34770954,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR9-ST,7/22/2019,49,2,17,103,19,314,135,3791,8,3,20.9
34770955,48183,19-203-0141,ANNY CHUNG,7/25/2019,ARTR10-ST,7/22/2019,50,2.6,24,131,12,371,211,2806,7.5,2,16.7
34770956,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO1-ST,7/22/2019,51,2.1,13,83,9,362,97,3507,8.3,3,19.3
34770957,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO2-ST,7/22/2019,52,1.7,12,56,7,377,83,3494,8.3,4,19.1
34770958,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO3-ST,7/22/2019,53,2.3,16,118,9,718,104,3414,8.3,5,19.8
34770959,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO4-ST,7/22/2019,54,1.9,13,77,10,350,79,3534,8.3,3,19.2
34770960,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO5-ST,7/22/2019,55,2,16,123,10,240,171,3061,7.8,2,17.3
34770961,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO6-ST,7/22/2019,56,2.3,15,111,8,286,142,3272,8,5,18.3
34770962,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO7-ST,7/22/2019,57,2.4,15,116,7,276,162,3110,7.8,2,17.6
34770963,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO8-ST,7/22/2019,58,2.5,11,124,9,455,145,3462,8,2,19.7
34770964,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO9-ST,7/22/2019,59,2.4,11,61,7,402,115,3674,8.1,4,20.4
34770965,48183,19-203-0141,ANNY CHUNG,7/25/2019,HECO10-ST,7/22/2019,60,2.1,16,117,9,262,235,2455,7.4,2,14.9
34770966,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE1-ST,7/22/2019,61,2.1,20,130,11,305,313,2831,7.3,2,17.5
34770967,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE2-ST,7/22/2019,62,2.7,33,133,18,407,295,2108,6.8,2,14
34770968,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE3-ST,7/22/2019,63,2.2,13,119,8,310,156,3731,8,4,20.7
34770969,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE4-ST,7/22/2019,64,3.3,13,126,8,472,135,2902,7.8,4,16.8
34770970,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE5-ST,7/22/2019,65,2.9,16,109,11,513,136,3695,7.9,4,20.9
34770971,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE6-ST,7/22/2019,66,3,17,117,12,507,149,3570,8,6,20.4
34770972,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE7-ST,7/22/2019,67,2.6,19,111,13,445,96,3808,8.1,3,21
34770973,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE8-ST,7/22/2019,68,2.4,18,113,12,467,103,3488,8.1,4,19.5
34770974,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE9-ST,7/22/2019,69,2.4,8,66,13,434,104,3522,8.1,5,19.6
34770975,48183,19-203-0141,ANNY CHUNG,7/25/2019,POSE10-ST,7/22/2019,70,3.5,20,129,11,457,143,3409,8,4,19.4
34770976,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP1-ST,7/22/2019,71,2.1,15,111,10,268,157,3556,7.9,3,19.8
34770977,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP2-ST,7/22/2019,72,2.5,12,99,10,386,153,3593,8,2,20.2
34770978,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP3-ST,7/22/2019,73,2.4,20,88,15,616,125,3419,8.2,3,19.7
34770979,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP4-ST,7/22/2019,74,2.6,6,69,14,502,103,3595,8.2,6,20.1
34770981,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP5-ST,7/22/2019,75,2.2,6,69,13,477,101,3583,8.2,5,20
34770982,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP6-ST,7/22/2019,76,2.5,16,80,12,406,95,3589,8.2,4,19.8
34770983,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP7-ST,7/22/2019,77,2.5,19,132,14,323,147,3104,7.8,2,17.6
34770984,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP8-ST,7/22/2019,78,3.8,42,125,27,569,252,2682,7.4,4,17
34770985,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP9-ST,7/22/2019,79,2.7,30,117,18,410,244,2653,7.2,3,16.3
34770986,48183,19-203-0141,ANNY CHUNG,7/25/2019,PSSP10-ST,7/22/2019,80,2.9,41,136,32,660,276,2421,7.3,2,16.1
